task_id,title,section,question,table
f_f0faab3d8704465007d1,William Price (footballer),Statistics,"What years did William Price play for Fulham, and what years did that team play in the Third Division South?","[[""Club"", ""Season"", ""Division"", ""League"", ""League"", ""FA Cup"", ""FA Cup"", ""Other"", ""Other"", ""Total"", ""Total""], [""Club"", ""Season"", ""Division"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals""], [""Brentford"", ""1927–28"", ""Third Division South"", ""1"", ""1"", ""0"", ""0"", ""0"", ""0"", ""1"", ""1""], [""Fulham"", ""1928–29"", ""Third Division South"", ""29"", ""13"", ""3"", ""1"", ""0"", ""0"", ""32"", ""14""], [""Fulham"", ""1929–30"", ""Third Division South"", ""25"", ""9"", ""4"", ""1"", ""0"", ""0"", ""29"", ""10""], [""Fulham"", ""1930–31"", ""Third Division South"", ""19"", ""6"", ""1"", ""1"", ""0"", ""0"", ""20"", ""7""], [""Fulham"", ""1931–32"", ""Third Division South"", ""31"", ""4"", ""5"", ""1"", ""0"", ""0"", ""36"", ""5""], [""Fulham"", ""1932–33"", ""Second Division"", ""30"", ""6"", ""1"", ""0"", ""0"", ""0"", ""31"", ""6""], [""Fulham"", ""1933–34"", ""Second Division"", ""26"", ""4"", ""0"", ""0"", ""0"", ""0"", ""26"", ""4""], [""Fulham"", ""1934–35"", ""Second Division"", ""23"", ""4"", ""1"", ""0"", ""0"", ""0"", ""24"", ""4""], [""Fulham"", ""1935–36"", ""Second Division"", ""4"", ""2"", ""0"", ""0"", ""0"", ""0"", ""4"", ""2""], [""Fulham"", ""1936–37"", ""Second Division"", ""2"", ""1"", ""0"", ""0"", ""0"", ""0"", ""2"", ""1""], [""Fulham"", ""Total"", ""Total"", ""189"", ""49"", ""15"", ""4"", ""0"", ""0"", ""204"", ""53""], [""Port Vale"", ""1937–38"", ""Third Division North"", ""13"", ""2"", ""0"", ""0"", ""1"", ""0"", ""14"", ""2""], [""Career Total"", ""Career Total"", ""Career Total"", ""203"", ""52"", ""15"", ""4"", ""1"", ""0"", ""219"", ""56""]]"
f_4a63988c808bd4103619,Erick Wainaina,Achievements,"When did Erick Wainaina take home his second wins at the Hokkaido Marathon and Nagano Marathon, respectively?","[[""Year"", ""Competition"", ""Venue"", ""Position"", ""Event"", ""Notes""], [""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya""], [""1994"", ""Hokkaido Marathon"", ""Sapporo, Japan"", ""1st"", ""Marathon"", ""2:15:03""], [""1995"", ""Tokyo Marathon"", ""Tokyo, Japan"", ""1st"", ""Marathon"", ""2:10:31""], [""1995"", ""World Championships"", ""Gothenburg, Sweden"", ""18th"", ""Marathon"", ""2:19:53""], [""1996"", ""Olympic Games"", ""Atlanta, United States"", ""3rd"", ""Marathon"", ""2:12:44""], [""1997"", ""Hokkaido Marathon"", ""Sapporo, Japan"", ""1st"", ""Marathon"", ""2:13:45""], [""2000"", ""Nagano Marathon"", ""Nagano, Japan"", ""1st"", ""Marathon"", ""2:10:17""], [""2000"", ""Olympic Games"", ""Sydney, Australia"", ""2nd"", ""Marathon"", ""2:10:31""], [""2002"", ""Tokyo Marathon"", ""Tokyo, Japan"", ""1st"", ""Marathon"", ""2:08:43""], [""2003"", ""Nagano Marathon"", ""Nagano, Japan"", ""1st"", ""Marathon"", ""2:12:00""], [""2003"", ""Hokkaido Marathon"", ""Sapporo, Japan"", ""1st"", ""Marathon"", ""2:13:13""], [""2004"", ""Olympic Games"", ""Athens, Greece"", ""7th"", ""Marathon"", ""2:13:30""]]"
f_ff59cfc7c759429791df,Kelli Maroney,Filmography,"Aside from Jolene in Slayground, what were Kelli Maroney's first four other roles?","[[""Year"", ""Title"", ""Role"", ""Notes""], [""1982"", ""Fast Times at Ridgemont High"", ""Cindy"", ""-""], [""1983"", ""Slayground"", ""Jolene"", ""-""], [""1984"", ""Night of the Comet"", ""Samantha"", ""-""], [""1986"", ""Chopping Mall"", ""Alison Parks"", ""-""], [""1986"", ""The Zero Boys"", ""Jamie"", ""-""], [""1987"", ""Big Bad Mama II"", ""Willie McClatchie"", ""-""], [""1988"", ""Not of This Earth"", ""Nurse Oxford"", ""-""], [""1989"", ""Jaded"", ""Jennifer"", ""-""], [""1989"", ""Transylvania Twist"", ""Hannah"", ""-""], [""1990"", ""Hard to Die"", ""Porno Wife"", ""-""], [""1991"", ""Servants of Twilight"", ""Sherry Ordway"", ""-""], [""1991"", ""Scream Queen Hot Tub Party"", ""Herself"", ""Video""], [""1993"", ""Midnight Witness"", ""Devon"", ""-""], [""1999"", ""Sam and Mike"", ""-"", ""Short film""], [""2004"", ""Audition"", ""Brett"", ""Short film""], [""2011"", ""Lip Service"", ""Janice"", ""-""], [""2012"", ""Dark Star Hollow"", ""Sarah Rose Barteaux"", ""Post-production""]]"
f_29e4bf5fc4d361eef4c4,Kristi Lauren,Filmography,Did Kristi Lauren play any roles in independent films?,"[[""Year"", ""Title"", ""Role"", ""Notes""], [""2004"", ""Save Virgil"", ""Kristi"", ""Short film""], [""2006"", ""Living the Dream"", ""School girl"", ""Independent film""], [""2009"", ""Wizards of Waverly Place"", ""Chelsa"", ""Episode: \""Art Teacher\""""], [""2009"", ""You"", ""Young Quincey"", ""Independent film""], [""2011"", ""Working Class"", ""Danielle"", ""Episode: \""The Dance\""""], [""2011–12"", ""I Hate My Teenage Daughter"", ""Sophie Watson"", ""Series regular, 13 episodes""], [""2013"", ""Hawaii Five-0"", ""Amanda Harper"", ""Episode: \""A'ale Ma'a Wau\""""], [""2014"", ""Endless Love"", ""Woman on Trampoline"", ""Universal Pictures Film""]]"
f_1356fb03f0ed8ea37afe,Adriana Muñoz,Competition record,Which medal did Adriana Munoz winat the Pan American Games and what what their time?,"[[""Year"", ""Competition"", ""Venue"", ""Position"", ""Event"", ""Notes""], [""Representing Cuba"", ""Representing Cuba"", ""Representing Cuba"", ""Representing Cuba"", ""Representing Cuba"", ""Representing Cuba""], [""2001"", ""Pan American Junior Championships"", ""Santa Fe, Argentina"", ""1st"", ""1500 m"", ""4:36.73""], [""2003"", ""Pan American Games"", ""Santo Domingo, Dominican Republic"", ""1st"", ""800 m"", ""2:02.96""], [""2003"", ""Pan American Games"", ""Santo Domingo, Dominican Republic"", ""1st"", ""1500 m"", ""4:09.57""], [""2003"", ""Pan American Games"", ""Santo Domingo, Dominican Republic"", ""5th"", ""4x400 m"", ""3:28.79""], [""2003"", ""World Championships"", ""Paris, France"", ""29th (h)"", ""800 m"", ""2:04.58""], [""2005"", ""Central American and Caribbean Championships"", ""Nassau, Bahamas"", ""5th"", ""800 m"", ""2:04.17""], [""2010"", ""Ibero-American Championships"", ""San Fernando, Spain"", ""4th"", ""1500 m"", ""4:15.21""], [""2010"", ""Ibero-American Championships"", ""San Fernando, Spain"", ""9th"", ""3000 m"", ""9:34.64""], [""2011"", ""ALBA Games"", ""Barquisimeto, Venezuela"", ""1st"", ""800 m"", ""2:02.55""], [""2011"", ""ALBA Games"", ""Barquisimeto, Venezuela"", ""1st"", ""1500 m"", ""4:23.28""], [""2011"", ""Pan American Games"", ""Guadalajara, Mexico"", ""1st"", ""800 m"", ""2:04.08""], [""2011"", ""Pan American Games"", ""Guadalajara, Mexico"", ""1st"", ""1500 m"", ""4:26.09""], [""2012"", ""Ibero-American Championships"", ""Barquisimeto, Venezuela"", ""3rd"", ""800 m"", ""2:03.72""], [""2012"", ""Ibero-American Championships"", ""Barquisimeto, Venezuela"", ""1st"", ""1500 m"", ""4:20.36""], [""2013"", ""Central American and Caribbean Championships"", ""Morelia, Mexico"", ""2nd"", ""1500 m"", ""4:31.79""], [""2014"", ""Central American and Caribbean Games"", ""Xalapa, Mexico"", ""3rd"", ""1500m"", ""4:20.50 A""], [""2015"", ""Pan American Games"", ""Toronto, Canada"", ""–"", ""1500 m"", ""DNF""]]"
f_8312a3c19ff9cb4454eb,Oldsmobile Custom Cruiser,Powertrain,What year did the Oldsmobile engines 350 and 403 offered 160 hp and 175 hp ?,"[[""Engine"", ""Configuration"", ""Year(s) produced"", ""Output"", ""Carburetor"", ""Transmission""], [""Oldsmobile V8"", ""5.7 L (350 cu in) OHV 16V V8"", ""1977-1978"", ""170 hp (127 kW)275 lb⋅ft (373 N⋅m)"", ""4bbl"", ""THM200 3-speed automatic""], [""Oldsmobile V8"", ""6.6 L (403 cu in) OHV 16V V8"", ""1977-1978"", ""185 hp (138 kW)320 lb⋅ft (434 N⋅m)"", ""4bbl"", ""THM200 3-speed automatic""], [""Oldsmobile Diesel V8 (LF9)"", ""5.7 L (350 cu in) OHV 16V V8 diesel"", ""1978-1979"", ""120 hp (89 kW)220 lb⋅ft (298 N⋅m)"", ""Indirect injection (diesel)"", ""THM200 3-speed automatic""], [""Oldsmobile V8 (350)"", ""5.7 L (350 cu in) OHV 16V V8"", ""1979-1980"", ""160 hp (119 kW)270 lb⋅ft (366 N⋅m)"", ""4bbl"", ""THM200 3-speed automatic""], [""Oldsmobile V8 (403)"", ""6.6 L (403 cu in) OHV 16V V8"", ""1979"", ""175 hp (130 kW)310 lb⋅ft (420 N⋅m)"", ""4bbl"", ""THM200 3-speed automatic""], [""Oldsmobile V8 (307)"", ""5.0 L (307 cu in) OHV 16V V8"", ""1980"", ""150 hp (112 kW)245 lb⋅ft (332 N⋅m)"", ""4bbl"", ""THM200 3-speed automatic""], [""Oldsmobile LF9 V8"", ""5.7 L (350 cu in) OHV 16V V8 diesel"", ""1980-1985"", ""105 hp (78 kW)205 lb⋅ft (278 N⋅m)"", ""Indirect injection (diesel)"", ""1980: THM200 3-speed automatic 1981-1985: THM200-4R 4-speed automatic""], [""Oldsmobile V8 (307)"", ""5.0 L (307 cu in) OHV 16V V8"", ""1981-1984"", ""140 hp (104 kW)240 lb⋅ft (325 N⋅m)"", ""4bbl"", ""THM200-4R 4-speed automatic""], [""Oldsmobile V8 (307)"", ""5.0 L (307 cu in) OHV 16V V8"", ""1985-1990"", ""140 hp (104 kW)255 lb⋅ft (346 N⋅m)"", ""4bbl"", ""THM200-4R 4-speed automatic""]]"
f_8d3fc6955a99898ee841,Vanessa Mdee,Awards and nominations,Which Tanzania Music Awards was Mdee nominated for in 2014?,"[[""Year"", ""Award"", ""Category"", ""Nominated work"", ""Result""], [""2013"", ""Tanzania Music Awards"", ""Best New Artist"", ""-"", ""Nominated""], [""2013"", ""Tanzania Music Awards"", ""Best Afro Pop"", ""Me & You"", ""Won""], [""2013"", ""Tanzania Music Awards"", ""Best Collaboration"", ""Me & You"", ""Won""], [""2014"", ""Tanzania Music Awards"", ""Female Artist of the Year"", ""-"", ""Nominated""], [""2014"", ""Tanzania Music Awards"", ""RnB Song of the Year"", ""Closer"", ""Won""], [""2014"", ""Tanzania Music Awards"", ""Female Performer of the Year"", ""-"", ""Nominated""], [""2014"", ""Tanzania People's Choice Awards"", ""Favourite Female Video"", ""Closer"", ""Nominated""], [""2014"", ""All Africa Music Awards"", ""Best African RnB & Soul"", ""Come Over"", ""Nominated""], [""2014"", ""All Africa Music Awards"", ""Best Female Artiste In Eastern Africa"", ""-"", ""Won""], [""2015"", ""Tanzania Music Awards"", ""Female Artist of the Year"", ""-"", ""Won""], [""2015"", ""Tanzania Music Awards"", ""Afro Pop Song of the Year"", ""Hawajui"", ""Nominated""], [""2015"", ""Tanzania Music Awards"", ""Best Female Entertainer"", ""-"", ""Won""], [""2015"", ""Tanzania People's Choice Awards"", ""Female Artist of the Year"", ""-"", ""Nominated""], [""2015"", ""MTV Africa Music Awards"", ""Best Female"", ""-"", ""Nominated""], [""2015"", ""African Muzik Magazine Awards"", ""Best Female Artist East Africa"", ""-"", ""Won""], [""2015"", ""All Africa Music Awards"", ""Best African Pop"", ""Hawajui"", ""Won""], [""2015"", ""The Future Awards Africa"", ""Prize in Entertainment"", ""-"", ""Nominated""], [""2015"", ""Abryanz Style and Fashion Awards 2015"", ""Most Stylish Female Artist East Africa"", ""-"", ""Won""], [""2015"", ""Africa Entertainment Awards ( Canada)"", ""Best International Female Artist Africa"", ""-"", ""Won""], [""2015"", ""Africa Entertainment Awards (USA)"", ""Best Female Artist Africa"", ""-"", ""Nominated""], [""2016"", ""Kora Awards"", ""Best Female Artist – East Africa"", ""-"", ""Pending""], [""2016"", ""Nigeria Entertainment Awards"", ""Best Female Artist ( Non Nigerian)"", ""-"", ""Nominated""], [""2016"", ""Africa Magazine Muzik Awards"", ""Best Female East Africa"", ""-"", ""Nominated""], [""2016"", ""Africa Entertainment Awards (USA)"", ""Best Female artist"", ""-"", ""Nominated""], [""2016"", ""MTV Africa Music Awards"", ""Best Female"", ""-"", ""Nominated""], [""2016"", ""Abryanz Style and Fashion Awards 2016"", ""Most Stylish Female Artiste (East Africa)"", ""-"", ""Won""]]"
f_e75b14f058257ac017df,My Happiness (Powderfinger song),Awards,"At which two ceremonies did ""My Happiness"" win the ""Single of the Year"" and the ""Song of the Year"" award in 2001?","[[""Year"", ""Organisation"", ""Ceremony"", ""Award"", ""Result""], [""2000"", ""Triple J"", ""Hottest 100"", ""N/A"", ""#1""], [""2001"", ""APRA"", ""APRA Awards"", ""Song of the Year"", ""Won""], [""2001"", ""ARIA"", ""ARIA Music Awards"", ""Single of the Year"", ""Won""]]"
f_2dd5e6c808d3035fe571,Feel the Love (Ayumi Hamasaki song),Release history,How was Feel The Love released in 2013 in terms of labels?,"[[""Region"", ""Date"", ""Format"", ""Label""], [""Japan"", ""December 25, 2013"", ""CD"", ""Avex Trax""], [""Japan"", ""December 25, 2013"", ""CD and DVD"", ""Avex Trax""], [""Japan"", ""December 25, 2013"", ""Digital download"", ""Avex Trax""], [""Japan"", ""December 25, 2013"", ""Music Cards (3x)"", ""Avex Trax""], [""Taiwan"", ""December 25, 2013"", ""CD"", ""Avex Taiwan""], [""Taiwan"", ""December 25, 2013"", ""CD and DVD"", ""Avex Taiwan""], [""Taiwan"", ""December 25, 2013"", ""Digital download"", ""Avex Taiwan""], [""Japan"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Australia"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""New Zealand"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""United Kingdom"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Ireland"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Germany"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Spain"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""France"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Italy"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""United States"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Canada"", ""December 25, 2013"", ""Digital download"", ""Avex Entertainment Inc.""], [""Worldwide"", ""December 25, 2013"", ""Remix EP"", ""Avex Entertainment Inc.""]]"
f_3549e566156d8fe9b606,Norm Beechey,Career results,What races did Norm Beechy win and what cars was he driving when he won?,"[[""Season"", ""Title"", ""Position"", ""Car"", ""Team""], [""1964"", ""Australian Touring Car Championship"", ""2nd"", ""Holden EH Special S4"", ""Neptune Racing Team""], [""1965"", ""Australian Touring Car Championship"", ""1st"", ""Ford Mustang"", ""Neptune Racing Team""], [""1966"", ""Australian Touring Car Championship"", ""2nd"", ""Chevrolet Chevy II Nova"", ""Neptune Racing Team""], [""1969"", ""Australian Touring Car Championship"", ""3rd"", ""Holden HK Monaro GTS327"", ""Norm Beechey""], [""1970"", ""Australian Touring Car Championship"", ""1st"", ""Holden HT Monaro GTS350"", ""Norm Beechey Shell Race Team""], [""1971"", ""Australian Touring Car Championship"", ""5th"", ""Holden HT Monaro GTS350"", ""Shell Racing""], [""1972"", ""Australian Touring Car Championship"", ""13th"", ""Holden HT Monaro GTS350"", ""Shell Racing""]]"
f_65e4be063dc5735a161e,2017 World Championships in Athletics – Men's triple jump,Final,How many competitors jumped the same distance in the 2017 World Championship triple jump and what was their mark?,"[[""Rank"", ""Name"", ""Nationality"", ""Round"", ""Round"", ""Round"", ""Round"", ""Round"", ""Round"", ""Mark"", ""Notes""], [""Rank"", ""Name"", ""Nationality"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""Mark"", ""Notes""], [""-"", ""Christian Taylor"", ""United States (USA)"", ""16.97"", ""17.57"", ""17.68"", ""17.26"", ""17.38"", ""17.03"", ""17.68"", ""-""], [""-"", ""Will Claye"", ""United States (USA)"", ""17.54"", ""17.52"", ""17.63"", ""17.49"", ""17.53"", ""x"", ""17.63"", ""-""], [""-"", ""Nelson Évora"", ""Portugal (POR)"", ""17.02"", ""17.19"", ""16.58"", ""x"", ""x"", ""16.01"", ""17.19"", ""-""], [""4"", ""Cristian Nápoles"", ""Cuba (CUB)"", ""x"", ""x"", ""17.16"", ""x"", ""x"", ""17.16"", ""17.16"", ""-""], [""5"", ""Alexis Copello"", ""Azerbaijan (AZE)"", ""17.16"", ""x"", ""x"", ""16.87"", ""16.91"", ""17.06"", ""17.16"", ""SB""], [""6"", ""Chris Benard"", ""United States (USA)"", ""16.88"", ""x"", ""16.94"", ""x"", ""x"", ""17.16"", ""17.16"", ""-""], [""7"", ""Andy Díaz"", ""Cuba (CUB)"", ""17.13"", ""x"", ""x"", ""x"", ""-"", ""x"", ""17.13"", ""-""], [""8"", ""Jean-Marc Pontvianne"", ""France (FRA)"", ""x"", ""16.62"", ""16.79"", ""x"", ""x"", ""16.57"", ""16.79"", ""-""], [""9"", ""Wu Ruiting"", ""China (CHN)"", ""16.47"", ""16.66"", ""16.53"", ""-"", ""-"", ""-"", ""16.66"", ""-""], [""10"", ""Pablo Torrijos"", ""Spain (ESP)"", ""16.60"", ""16.51"", ""16.53"", ""-"", ""-"", ""-"", ""16.60"", ""-""], [""11"", ""Yordanys Durañona"", ""Dominica (DMA)"", ""16.42"", ""x"", ""x"", ""-"", ""-"", ""-"", ""16.42"", ""-""], [""12"", ""Lázaro Martínez"", ""Cuba (CUB)"", ""x"", ""16.25"", ""16.09"", ""-"", ""-"", ""-"", ""16.25"", ""-""]]"
f_4c73a08cf8acaaa78448,Jordan Ayew,International goals,"How many goals did Jordan Ayew score on 9 June 2014 against South Korea, and what was the final score?","[[""No"", ""Date"", ""Venue"", ""Opponent"", ""Score"", ""Result"", ""Competition""], [""1."", ""1 June 2012"", ""Baba Yara Stadium, Kumasi, Ghana"", ""Lesotho"", ""3–0"", ""7–0"", ""2014 FIFA World Cup qualification""], [""2."", ""1 June 2012"", ""Baba Yara Stadium, Kumasi, Ghana"", ""Lesotho"", ""6–0"", ""7–0"", ""2014 FIFA World Cup qualification""], [""3."", ""9 June 2014"", ""Sun Life Stadium, Miami Gardens, United States"", ""South Korea"", ""1–0"", ""4–0"", ""Friendly""], [""4."", ""9 June 2014"", ""Sun Life Stadium, Miami Gardens, United States"", ""South Korea"", ""3–0"", ""4–0"", ""Friendly""], [""5."", ""9 June 2014"", ""Sun Life Stadium, Miami Gardens, United States"", ""South Korea"", ""-"", ""4–0"", ""Friendly""], [""6."", ""5 February 2015"", ""Nuevo Estadio de Malabo, Malabo, Equatorial Guinea"", ""Equatorial Guinea"", ""1–0"", ""3–0"", ""2015 Africa Cup of Nations""], [""7."", ""14 June 2015"", ""Accra Sports Stadium, Accra, Ghana"", ""Mauritius"", ""2–0"", ""7–1"", ""2017 Africa Cup of Nations qualification""], [""8."", ""14 June 2015"", ""Accra Sports Stadium, Accra, Ghana"", ""Mauritius"", ""5–1"", ""7–1"", ""2017 Africa Cup of Nations qualification""], [""9."", ""1 September 2015"", ""Stade Municipal de Kintélé, Brazzaville, Republic of the Congo"", ""Congo"", ""2–3"", ""2–3"", ""Friendly""], [""10."", ""17 November 2015"", ""Baba Yara Stadium, Kumasi, Ghana"", ""Comoros"", ""2–0"", ""2–0"", ""2018 FIFA World Cup qualification""], [""11."", ""24 March 2016"", ""Accra Sports Stadium, Accra, Brazil"", ""Mozambique"", ""3–0"", ""3–1"", ""2017 Africa Cup of Nations qualification""], [""12."", ""29 January 2017"", ""Stade d'Oyem, Oyem, Gabon"", ""DR Congo"", ""1–0"", ""2–1"", ""2017 Africa Cup of Nations""], [""13."", ""18 November 2018"", ""Addis Ababa Stadium, Addis Ababa, Ethiopia"", ""Ethiopia"", ""1–0"", ""2–0"", ""2019 Africa Cup of Nations qualification""], [""14."", ""18 November 2018"", ""Addis Ababa Stadium, Addis Ababa, Ethiopia"", ""Ethiopia"", ""-"", ""2–0"", ""2019 Africa Cup of Nations qualification""]]"
f_daee10f52780bb05a8f4,1977 Old Dominion 500,Standings after the race,By how many points was Cale Yarborough ahead of Richard Petty in the 1977 Old Dominion 500 standings?,"[[""Pos"", ""Driver"", ""Points"", ""Differential""], [""-"", ""Cale Yarborough"", ""4155"", ""0""], [""-"", ""Richard Petty"", ""3936"", ""219""], [""-"", ""Benny Parsons"", ""3782"", ""373""], [""-"", ""Darrell Waltrip"", ""3727"", ""428""], [""-"", ""Buddy Baker"", ""3276"", ""879""], [""-"", ""Dick Brooks"", ""3088"", ""1067""], [""7"", ""James Hylton"", ""2876"", ""1279""], [""8"", ""Cecil Gordon"", ""2860"", ""1295""], [""9"", ""Richard Childress"", ""2855"", ""1300""], [""-"", ""Bobby Allison"", ""2873"", ""1372""]]"
f_ff68f44ccc741cc19f33,NBR 224 and 420 Classes,Summary,What years were the 420/421 and 422/423 locomotives rebuilt?,"[[""Original number"", ""Class"", ""Built"", ""Rebuilt"", ""Renumbered (year)"", ""Withdrawn""], [""224"", ""224"", ""1871"", ""1885, 1887, 1897"", ""1192 (1913)"", ""1919""], [""264"", ""224"", ""1871"", ""1893"", ""1198 (1913)"", ""1917""], [""420"", ""420"", ""1873"", ""1887"", ""1241 (1914)"", ""1915""], [""421"", ""420"", ""1873"", ""1887"", ""1242 (1914)"", ""1918""], [""422"", ""420"", ""1873"", ""1890"", ""1243 (1914)"", ""1918""], [""423"", ""420"", ""1873"", ""1890"", ""1244 (1914)"", ""1914""]]"
f_23a95055ffbbcc60a447,List of Chief Ministers of Nagaland,List,What position was Hokishe Sema occupying as at 22 February 1969?,"[[""No"", ""Name"", ""Term of office"", ""Term of office"", ""Party"", ""Party"", ""Days in office""], [""1"", ""P. Shilu Ao MLA for Impur"", ""1 December 1963"", ""14 August 1966"", ""Naga Nationalist Organisation"", ""-"", ""987 days""], [""2"", ""T. N. Angami MLA for Western Angami"", ""14 August 1966"", ""22 February 1969"", ""Naga Nationalist Organisation"", ""-"", ""924 days""], [""3"", ""Hokishe Sema MLA for Akuluto"", ""22 February 1969"", ""26 February 1974"", ""Naga Nationalist Organisation"", ""-"", ""1831 days""], [""4"", ""Vizol Angami MLA for Southern Angami-II"", ""26 February 1974"", ""10 March 1975"", ""United Democratic Front"", ""-"", ""378 days""], [""5"", ""John Bosco Jasokie MLA for Kohima Town"", ""10 March 1975"", ""20 March 1975"", ""Naga National Democratic Party"", ""-"", ""11 days""], [""–"", ""Vacant (President's rule)"", ""20 March 1975"", ""25 November 1977"", ""N/A"", ""-"", ""-""], [""(4)"", ""Vizol Angami MLA for Southern Angami-II"", ""25 November 1977"", ""18 April 1980"", ""United Democratic Front"", ""-"", ""876 days [Total 1254 days]""], [""6"", ""S. C. Jamir MLA for Aonglenden"", ""18 April 1980"", ""5 June 1980"", ""United Democratic Front—Progressive"", ""-"", ""49 days""], [""(5)"", ""John Bosco Jasokie MLA for Kohima Town"", ""5 June 1980"", ""18 November 1982"", ""Naga National Democratic Party"", ""-"", ""897 days [Total 908 days]""], [""(6)"", ""S. C. Jamir MLA for Aonglenden"", ""18 November 1982"", ""28 October 1986"", ""United Democratic Front—Progressive"", ""-"", ""1440 days""], [""(3)"", ""Hokishe Sema"", ""29 October 1986"", ""7 August 1988"", ""Indian National Congress"", ""-"", ""648 days [Total 2479 days]""], [""–"", ""Vacant (President's rule)"", ""7 August 1988"", ""25 January 1989"", ""N/A"", ""-"", ""-""], [""(6)"", ""S. C. Jamir MLA for Mokokchung Town"", ""25 January 1989"", ""10 May 1990"", ""Indian National Congress"", ""-"", ""471 days""], [""7"", ""K. L. Chishi MLA for Atoizu"", ""16 May 1990"", ""19 June 1990"", ""Indian National Congress"", ""-"", ""36 days""], [""8"", ""Vamuzo Phesao"", ""19 June 1990"", ""2 April 1992"", ""Nagaland People's Council"", ""-"", ""653 days""], [""–"", ""Vacant (President's rule)"", ""2 April 1992"", ""22 February 1993"", ""N/A"", ""-"", ""-""], [""(6)"", ""S. C. Jamir MLA for Aonglenden"", ""22 February 1993"", ""6 March 2003"", ""Indian National Congress"", ""-"", ""3665 days [Total 5625 days]""], [""9"", ""Neiphiu Rio MLA for Northern Angami-II"", ""6 March 2003"", ""3 January 2008"", ""Nagaland People's Front"", ""-"", ""1767 days""], [""–"", ""Vacant (President's rule)"", ""3 January 2008"", ""12 March 2008"", ""N/A"", ""-"", ""-""], [""(9)"", ""Neiphiu Rio MLA for Northern Angami-II"", ""12 March 2008"", ""24 May 2014"", ""Nagaland People's Front"", ""-"", ""2264""], [""10"", ""T. R. Zeliang MLA for Peren"", ""24 May 2014"", ""22 February 2017"", ""Nagaland People's Front"", ""-"", ""1005""], [""11"", ""Shurhozelie Liezietsu"", ""22 February 2017"", ""19 July 2017"", ""Nagaland People's Front"", ""-"", ""147""], [""(10)"", ""T. R. Zeliang MLA for Peren"", ""19 July 2017"", ""8 March 2018"", ""Nagaland People's Front"", ""-"", ""232 [Total 1237 days]""], [""(9)"", ""Neiphiu Rio MLA for Northern Angami-II"", ""8 March 2018"", ""Incumbent"", ""Nationalist Democratic Progressive Party"", ""-"", ""418""]]"
